name,description,disease types,Modality
Apathy,"Apathy is defined as a decrease in motivation to the point of disinterest. It has been widely correlated with depression as they are similar, however they are two separate distinguishable moods (Levy et al., 1998). Apathy has been linked to an increased risk of dementia development in some studies. In 2018 a systematic review and meta-analysis was conducted to investigate this link. From this it was found that apathy was associated with a 2-fold increase in the risk of going on to develop dementia (Van Dalen et al., 2018). In terms of dementia subtype, apathy has been seen in AD, DLB, and FTD, specifically bvFTD.  

Apathy can be seen in AD over the course of the disease and even in MCI. MCI has been said to be a preclinical stage of AD and so identifying symptoms at this stage could be a good indicator for early detection. In relation to apathy the evolution from MCI to AD is debated. It has been found that MCI patients with atrophy alone or coupled with depression have a greater risk of developing AD (Ruthirakuhan et al., 2019). Another study also showed that out of patients that progressed from MCI to AD 91.7% had symptoms of atrophy, however this study was not conclusive on the exact relationship they saw between apathy and AD (Robert et al., 2006). There is much speculation about the pathological correlation between apathy and AD. Some have suggested that apathy correlates with frontotemporal hypoperfusion (Craig et al., 1996) and others have said its with right temporoparietal hypoperfusion (Ott, Noto and Fogel, 1996). A later study has also suggested strong links between apathy and the integrity of the medial frontal regions (Apostolova et al., 2007). It has been observed that hypoperfusion is prevalent during the presentation of the disease as well as in its pre-clinical stages. It is also been said to occur in cognitively healthy people at risk of developing AD due to their family history or genetic components (Austin et al., 2011). As hypoperfusion is associated with apathy the recognition of apathy in cognitively unaffected individuals could be representative of underlying genetic factors which increase the risk of someone developing dementia. It could also be used to identify the preclinical stages of the disease early on.  

Apathy has also been observed in patients with FTD, specifically bvFTD. It is said to be the most common behavioural symptom in this FTD subtype and increases with disease severity (Quaranta et al., 2012). The apathy profile of individuals with bvFTD has been seen to differ from that of AD patients, meaning it could be used to distinguish the dementia type someone is most at risk of developing. One distinguishing feature is that it is more commonly seen coupled with disinhibition in FTD compared to AD (Levy et al., 1998). The type of apathy seen also noted to differ between these dementia subtypes. It has been seen in a preliminary investigation that affective apathy was the only behaviour symptom present that could differentiate bvFTD from AD. Affective apathy has been linked with alterations of the orbitofrontal cortex specifically its relationship with the ventral striatum (Quaranta et al., 2012). These areas of the brain also control other key functions seen to be affected in dementia, and so identification of these neurological changes through apathy could help to identify bvFTD early on in disease progression.  

DLB has also been linked to symptoms of apathy. In comparison to FTD and AD, apathy has been seen to increase the rate of cognitive decline in DLB patients over a 4-year study (Breitve et al., 2018). Apathy within DLB has been associated with reduced striatonigral uptake, a phenomenon not observed in AD patients. This deficit was also seen in MCI patients with a higher risk of developing DLB (Graff-Radford et al., 2014). This suggests that apathy is a good biomarker for DLB as if identified early it suggests the person is at risk of faster cognitive decline, relating to DLB, over the next few years.","AD, DLB, FTD- specifically bvFTD",Mood
Anxiety,"Anxiety is the feeling of being abnormally uneasy or worried. It can arise due to phobias or social interaction and can be expressed in panic attacks or PTSD (National Health Service, 2018). These symptoms have been found in AD, VaD, FTD (Porter et al., 2003), and DLB of varying frequencies (Hynninen et al., 2012). Like depression there has been much debate surrounding the impact of anxiety on dementia. It has been suggested that anxiety is associated with an increase in cognitive impairment (Ferretti et al., 2001) however, other studies have found anxiety to be of no importance in the change in cognition seen in dementia patients (Breitve et al., 2016). Although this debate is still ongoing there is still potential for anxiety to be used as a risk factor for dementia. Recently there have been systematic reviews coupled with meta-analysis which have found a significant link between anxiety and reduction in cognitive health. In a paper by Gulpers in 2016 they found proposed that anxiety was a prodromal symptom for dementia as it increased the rate of cognitive impairment (Gulpers et al., 2016). In an even more recent paper by Santabábara they also found this link to be true and quantified it as a 29% increased chance of developing dementia if you suffer from anxiety symptoms. However, this paper does specify that further research is needed due to the uncertainty the extent to which anxiety causes dementia (Santabárbara et al., 2019). From this evidence we can say with some confidence that anxiety could be a good prodrome or marker for use in early detection of dementia.","AD, VaD, FTD, DLB",Mood
Irritability/Agitation,"Irritability and agitation are very similar symptoms both which are common in AD and DLB (Yoshida et al., 2015; Koenig, Arnold and Streim, 2016). There is little information about the impact of irritability or agitation of progression of dementia. Agitation has been observed in 60% of MCI patients and 76% of AD patients, in a study investigating its link to AD (Van Der Mussele et al., 2015). As MCI is hypothesised as a precursor for AD this suggests that agitation could be used as a marker for AD development as its prevalence is so high in both disorders. However, there would need to be more evidence to confidently integrate irritability or agitation into early detection.","AD, DLB",Mood
Speech patterns,"Abnormalities in features such as semantics, syntactics, lexical complexity, and features of speech such as shimmer (amplitude variation), jitter (frequency variation), number and duration of pauses have been documented in AD patients which can be detected in computer analysis of recorded speech (Meilán et al., 2014; Fraser, Meltzer and Rudzicz, 2016; Hall et al., 2019). Pauses may allow for some compensation for other linguistic deficits, Pistono et al. (2019) found that preclinical patients who took more pauses displayed better fluency. Linguistic features are also reported to worsen over time (Nicholas et al., 1996; Emery, 2000). Grammar is largely intact in AD compared to age and education matched controls (Altmann, Kempler and Andersen, 2001; Kavé and Levy, 2003; Cuetos et al., 2007). Although initially grammatical structure remains intact in AD other alterations in speech complexity and conciseness are present and accepted to deteriorate over time (Cuetos et al., 2007). Individuals with preclinical VD display more fluent speech patterns than preclinical AD patients (Jones, Laukka and Baäckman, 2006).

Individuals with AD struggle with narrative coherence when reliving events with poorer use of visual imagery, and report lower confidence in the “realness” of their memories, and feelings of reliving, and traveling back in time, as well as showing generally poorer autobiographical memory (Haj, Kapogiannis and Antoine, 2016). Despite showing several aspects of an impoverished phenomenological memory, AD patients score higher than controls when assessing the emotion and importance of events, Haj, Kapogiannis and Antoine (2016) suggest that AD patients relive events based on emotional or familiarity as their recall of auditory, spatial, visual, and general retrieval of events is impaired, distinct from Broca’s Aphasia (Knibb et al., 2009).

DLB and PDD patients can be distinguished from PD patients in their speech with decreased fluency, number and duration of pauses, poorer grammar, and slowing of speech (Ash et al., 2011, 2012). DLB/PDD individuals also have difficulty with narrative organisation, struggling to connect concepts or maintain a theme (Ash et al., 2011; Grossman et al., 2017) which can be detected prior to onset in amnesiac-MCI (Drummond et al., 2015). progressive non-fluent aphasia (PNFA) patients present with characteristically slow and effortful speech with overall decreased grammar comprehension and agrammatism in their own speech (Grossman and Moore, 2005; Grossman, 2017; Ash et al., 2019). They also have lower syntactic comprehension, use shorter phrases, and produce more elliptical statements, and word finding errors (Knibb et al., 2009).

Differences in techniques for displaying emotion in conversation can also alter in dementia. Prosodic range, used to convey emotion and emphasis in speech is impacted in bvFTD (Nevler et al., 2017). The use of laughter in conversation may also vary between various FTD (bvFTD, svFTD, and right temporal variant FTD (rtFTD)) and AD (Pressman et al., 2017).","AD, MCI, bvFTD, PNFA, svFTD, rtFTD, DLB, PDD, VD",Language
Speech content,"As memory deteriorates the ability of dementia patients to name specific objects or recall words becomes impaired. Changes are seen in vocabulary use lexical complexity as early as the MCI stages of dementia (Oulhaj et al., 2009; Roark et al., 2011) the severity of which can be used to predict duration till dementia onset (Oulhaj et al., 2009) with different linguistic markers separating MCI, dementia, and healthy controls from each other (Hall et al., 2019). Loss of the “richness” or propositional density can be detected in MCI (Smolík et al., 2016). There is evidence of decreased verb use and comprehension in PD (Cousins and Grossman, 2017), healthy carriers of the E280A mutation, prior to an AD or MCI diagnosis, demonstrated reduced use of semantic units, and simplified verb use compared to controls, although linguistic features such as pauses or paraphasia were not yet apparent (Cuetos et al., 2007). Anomia, or difficulty with word finding is, found in, AD and DLB (Lambon Ralph et al., 2001), all forms of PPA (Tang-Wai and Graham, 2008; Grossman, 2017) (svFTD (Kempler and Goral, 2008), PNFA (Knibb et al., 2009), lvPPA (Ash et al., 2019)), and bvFTD (Hardy et al., 2016). This may be an extralinguistic; forgetting the word or failing to recall through impaired intention, or an underlying semantic defect (Kempler and Goral, 2008). Both AD and svFTD patients present with this deficit, however svFTD individuals appear additionally to struggle with semantic word comprehension does not present in AD (Kempler and Goral, 2008). In mixed vascular AD, reduced lexical and syntactic complexity can distinguish it from un-mixed AD using a machine learning approach (Rentoumi et al., 2014). Loss of the “richness” of language, or propositional density can be detected as early as MCI (Smolík et al., 2016). However, individuals with MCI may attempt to compensate for deteriorating memory by using a wider vocabulary when describing events (Aramaki et al., 2016). 

Dementia may also impact the individuals’ ability to perform correct present to past tense English verb transformations (Patterson et al., 2001; Cortese et al., 2006). There is some variation in these tense forming errors between svFTD and AD (Cortese et al., 2006). General impairment in verb fluency can be detected in MCI with clinical AD patients’ performance even poorer (Östberg et al., 2005; Alegret et al., 2018). Méligne et al. (2011) found that there was a switch to more generic verbs (“remove” instead of “peel” for example). Individuals with PNFA and svFTD tend to use more generic words, with svFTD individuals being influenced by familiarity, and PNFA showing more limitations in their verb usage (Fraser et al., 2014; Marcotte et al., 2014). Although Graham, Patterson and Hodges (2004) did not find substantial differences in verb use in PNFA. DLB and PDD have also been shown to have abnormal use of grammar in their speech (Ash et al., 2011, 2012).","MCI, AD, DLB, svFTD, PNFA, PDD",Language
Written language content,"Analysis of the works of authors diagnosed with AD supports the deterioration of language use in dementia. Iris Murdoch showed a deterioration in structure, syntax and lexical diversity (Garrard et al., 2005; Pakhomov et al., 2011). This reduction of complexity also appears in Agatha Christie’s later works with repetitive phrases and increased use of indefinite words were also prevalent (Lancashire and Hirst, 2009). This simplification of language has can also be detected in personal journals of the general population (Weyerman, Rose and Norton, 2017). ","AD, MCI",Language
Dysgraphia,"Dysgraphia is reported for multiple types of dementia, although it frequently occurs in AD it is not present in every case (Graham, 2000) and presents in in variable ways (Luzzatti, Laiacona and Agazzi, 2003). Although changes in language use and spelling may result from a linguistic impairment poor form of letters and difficulty producing written words is related to fine motor control (discussed section X).  Onofri et al. (2015) found a deterioration in performance on a cognitive test for AD patients after completion of a writing task, which they suggest results from cognitive fluctuation during written communication. DLB patients in comparison did not experience this change (Onofri et al., 2015). Problems with writing are also seen in Japanese, with AD patients presenting with problems writing kanji not seen in MCI or controls, and both MCI and AD showing deficits in written narrative construction (Hayashi et al., 2015).","AD, MCI, DLB",Language
Dexterity,"Limb apraxia is more common in AD (including logopenic PPA and Posterior Cortical Atrophy variants) than in FTD associated disorders (bvFTD, svFTD, PNFA) with good discrimination (Ahmed et al., 2016). There is evidence to suggest that manual dexterity tests such as the Purdue Pegboard Test (PPT) also have predictive power for the development of neurodegenerative conditions including AD, other dementias, PD, and PDD (Darweesh et al., 2017). Reduced scores are seen in MCI and AD (Aggarwal et al., 2006). DLB patients performed poorer a 9-hole peg test (9HP) than either PD or AD, with PD patients additionally outperforming those with AD (Fritz et al., 2016). Fine motor control in these tests becomes apparent before deficits in gross motor skills (Kluger et al., 1997). In individuals with PD, poor scores on pegboard and rhythmic finger-tapping tasks are predictive of the development of PDD (Anang, Gagnon and Bertrand, 2014). de Paula et al. (2016) found an association between cognitive test performance and fine motor control (9HP) for AD and aMCI patients which they further linked to their ability to perform daily living tasks.  

Drawing and writing ability is also impaired in cases of deteriorating fine motor control with AD patients reported to produce irregular, inaccurate handwriting performance compared to controls (Slavin et al., 1999; Schröter et al., 2003) deterioration is also seen in MCI, but the two groups can be separated by increasing task complexity (Schröter et al., 2003). In handwriting tasks movement produced by MCI and AD individuals is slower, less smooth and less consistent, with AD individuals producing more “jerky” movements than MCI (Yan et al., 2008). AD patients were less consistent in the letter shapes they produced in comparison to PD or HD (Huntington’s disease) groups. (Slavin et al., 1999). Speed and accuracy on a task where participants were asked to move a courser to a target on screen were reduced in AD patients, with poorer scores associated with worse attention and working memory scores, and with increasing disease progression (Ghilardi et al., 1999). Attentional differences may influence reaction times and therefor some measures of dexterity (Bangert and Balota, 2012).","AD, lvPPA, PCA, bvFTD, svFTD, PNFA, MCI, PD, PDD",Fine Motor Control
Rhythmic control,"Self-generated or spontaneous rhythmic finger-tapping rate also decreases with age (Baudouin, Vanneste and Isingrini, 2004) however, several differences distinct from the aging process have been associated with dementia. MCI, AD and PD patents had higher IIV (inter individual variability) finger tapping test with AD and MCI producing fewer taps, longer intervals, and PD patients the reverse (Roalf et al., 2018). The IIV metric appears to remain stable until it increases in later life, although differences can be observed in midlife in performance on complex tasks (Bielak et al., 2014).  Differences in the IIV (inter individual variability) of directed finger-tapping was found between cognitively normal adults and cognitively normal APOE-ε4 carriers compared to APOE-ε4 carriers with MCI (Kay et al., 2017). This test could not, however, discriminate between cognitively normal APOE-ε4 carriers and non-carriers which is apparent when using traditional cognitive testing (Kay et al., 2017).  

Bailon et al. (2010) also found reduced finger-tapping performance in AD along with other measures of psychomotor performance, however they found that finger-tapping performance was conserved for MCI and DLB individuals. There is also some evidence that FTD patients experience slower psychomotor performance than in AD (Walker et al., 2005). However, slowed psychomotor speeds are associated with a subset of FTD patients who parkinsonism in combination with the more typical behavioural or linguistic features (Padovani et al., 2007). 

Duchek, Balota and Ferraro (1994) report an impairment in rhythmic timekeeping in the finger tapping task for AD patients. Rhythmic impairment was also found in (Suzumura et al., 2016) in addition to a correlation between impairments on a finger-to-thumb tapping test and score on the MMSE for AD and MCI individuals, with effects pronounced in the non-dominant hand. The length of spontaneous tap, and the variability of tapping were found to correlate with MMSE (Rabinowitz and Lavner, 2014) and MoCA scores (Hu et al., 2014). However, Camarda et al. (2007) found no correlation between MMSE and motor function on a visual pointing task in AD. ","MCI, AD, PD, FTD, DLB",Fine Motor Control
BPV,"Studies focusing specifically on the variability of blood pressure as a risk factor (BPV) measured from visit-to-visit by a clinician support this link. A Japanese cohort of 1674 (194 of which developed dementia in follow up) took daily BP measurements at home, with higher CoV (coefficient of variation) of SBP presenting as a risk factor, and showing that short term variability is present in addition to long term visit-to-visit variability (Oishi et al., 2017). Joas et al. (2012) found low baseline systolic blood pressure with a steep increase in midlife to be predictive of AD in women followed from mid to later-life. A study of 3703 Japanese-American men found that increased mid-life SBP and DBP were risk factors, but that this risk disappeared in the population treated for hypertension (Launer et al., 2000), a previous study of 189 individuals from the same cohort found midlife SBP and DBP but not PP to be a predictor of dementia (Freitag et al., 2005). (Liang et al., 2018) also found increased risk for individuals with hypertension or elevated SBP/DBP.  
Pulse Pressure (AD) 

There is evidence for (Qiu et al., 2003) and against (Freitag et al., 2005) PP as a predictor for dementia. Although markers of cerebral small vessel disease and arterial stiffness were found to be linked to cognitive impairment in a 2015 metanalysis, PP was not found to be a consistent marker of this effect (Van Sloten et al., 2015). However, PP, increased P-tau in CSF, and reduced Aβ1-42 levels correlate in cognitively normal individuals in their 50s or 60s, consistent with the finding that midlife hypertension correlates with the incidence of neurofibrillary tangles and Aβ plaques, and suggesting that changes in PP may affect the clearance of Aβ plaques (Nation et al., 2013). Overall, mid to late life blood pressure is an established risk factor for dementia which could be developed into a useful biomarker when combined with other metrics.",AD,Blood Pressure
Threshold detection,"Here, specific odorants stimulating only the 1st cranial nerve without irritating trigeminal endings were used. The testing kit used here comprises of a series of dilutions of phenylethyl alcohol along with a solution containing only distilled water. The test comprises of exposing subject to one bottle of diluted solution and one bottle of distilled water. The task being the assessment of which solution ‘evokes a stronger sensation’. Threshold is defined as 4 consecutive correct responses with chance performance on the next weaker concentration.",,Olfactory Function
Odour identification,"The UPSIT is a standardised tool to study odour identification abilities above the threshold for detection which consists of 40 ‘scratch and sniff’ MCQs. Due to the standardisation element of this test, it can show cultural differences in results and there are CA- (culturally adapted version available). Studies set their own criterion as here the cut-off between mild and moderate olfactory dysfunction is 24 correct responses in this study.",,Olfactory Function
Odour memory,"Subjects are given a set of ten distinct odours and informed that they will be asked to recognise them later. After a ten-minute interval, 5 odours from the initial ten, along with 5 new odours are presented with the subject being asked to identify which odours were present in the initial list of 10.",,Olfactory Function
Participation,"The social activity of individuals prior to developing clinical dementia is of interest primarily due to amount of data now generated by individuals using social media and location services. Access to this data would allow for analysis of changes in activity, distances and frequency of travel, and size of social network. However, Public Health England noted in their review of primary prevention in dementia that there are insufficient studies investigating the effects of social activity in midlife on late-life dementia risk (Read et al., 2017). Although the effects of social activity in midlife are still unclear, the link between cognitive decline and social activity is more established in late life; questions about withdrawal from social activities are included in dementia assessment questionnaires (Maki and Yamaguchi, 2014) for complex reasons. 

The environments that dementia patients are comfortable navigating on their own become increasingly restricted as their disease progresses for several complex factors (Duggan et al., 2008). These include fear of getting lost, shrinking social networks, depression, or avoidance of people they knew so as not to draw attention to their condition (Duggan et al., 2008; Clarke and Bailey, 2016). As dementia progresses from MCI to moderate to severe, the ability to perform daily living tasks becomes progressively impaired (Giebel, Sutcliffe and Challis, 2015), these tasks are prerequisites for engaging in a rich social life such as bathing, getting dressed, or general self-organisation (Lam et al., 2015). This could result in a lack of social activity, and feelings of social isolation which are also considered a risk factor for developing dementia according to metanalysis by Kuiper et al. (2015).  

Declining social activity has been linked to dementia by several studies. Metanalysis by Fratiglioni, Paillard-borg and Winblad (2004) found 13 instances where studies reported a significant link between social activity (including size of social network, engaging in leisure activities, physical activity, and satisfaction with social life), and dementia risk, all involving individuals over the age of 65. Some of the strongest evidence for this effect were found in Scarmeas et al. (2001) where a 38% reduction in AD risk was found in the group dedicating a large part of their time to leisure activity, strikingly, were independent of baseline cognition, cardiovascular disease, depression, ethnicity, educational attainment, and occupation. Engagement in physical exercise has shown benefits for individuals with dementia, however activity levels extending beyond this to include the level of social activity is also associated with AD progression (Buchman et al., 2012). A broad range of different social activities is also considered beneficial (Karp et al., 2006; Lam et al., 2015). 

A 2010 longitudinal study found that individuals with a rich social life displayed higher baseline cognitive performance, however, this did not appear to be associated with cognitive decline (Marioni et al., 2010). Adults with higher occupational or educational attainment tend to have a later dementia onset, and a more rapid decline once symptoms present than their peers with lower qualifications (Stern, 2012). This may represent a stronger ability for the brain to compensate for lost functions, the concept of cognitive reserve, with symptoms only displaying at a late stage in progression as reviewed in Stern (2012). Although these factors raise problems with this metric for early detection of dementia, assessment of midlife intellectual and social stimulation may allow for the prediction of the pattern of decline expected.  

As far as early detection is concerned, the evidence for midlife social activity’s link to dementia still requires further clarification. Hwang, Park and Kim (2018) found that MMSE scores and participation in social activity showed no associated in midlife (below age 65) but decline in MMSE was associated with lower social contact after this point. Holtzman et al. (2004) did find an association with MMSE score for over 50s in a 12 year follow up period, however this group included a range of ages from 50-81 and so does not inform us about these effects specifically during midlife. Another study found that participation in any productive or social activity which would provide mental stimulation decreased risk of dementia as assessed on average 6 years prior to the diagnosis (Hui-Xin Wang et al., 2002). Looking at male twins discordant for dementia Carlson et al. (2008) found that activities which combine social and cognitive stimulation to be protective against AD. Although overall physical activity did not seem to bear any effect, particularly for those with underlying genetic risk, suggesting that there is a protective aspect in engaging with mentally stimulating social experiences beyond just living an active lifestyle in midlife (Carlson et al., 2008). Whilst changes in social activity are frequent in dementia sufferers, there is a lack of evidence to support the detection of these changes far before disease onset.","Generic, MCI, AD",Social Activity 
Social network size,"The size of the social network may also provide protective effects against dementia symptoms; however, these effects could result from stress protection as contacts provide emotional support, cognitive stimulation, or increase the individuals’ opportunity to engage with a broad range of stimulating activities (Holtzman et al., 2004). The size of a social network may not be protective against dementia with Green, Rebok and Lyketsos (2008) suggesting that social isolation may be instead responsible for a faster decline.",Generic,Social Activity 
Changes in social behaviour,"There may be further changes observable in dementia patients during social interactions, particularly in subtypes with behavioural factors. bvFTD can be distinguished from AD easily by observing interactions between the patient and others in their home environment, with a loss of expected manners, tact, and relation to others (for example using statements involving “you”) (Mendez et al., 2014). Behavioural symptoms being some of the first to present in bvFTD (Desmarais et al., 2018). Although there is more overlap between the conditions, distinguishing bvFTD from PPA is also possible from the observation of patient interactions, and carer reports (Banks and Weintraub, 2008). However, often by the time these symptoms present neurological pathology; atrophy of the medial frontal lobes, and temporal neocortex, has already taken hold.","bvFTD, AD",Social Activity 
Changes in allocentric and egocentric navigation strategies,"Navigational abilities tend to decline with age with a general shift from allocentric (location of objects with respect to each other) to egocentric (location of objects with respect to the observer) navigational strategies (Colombo et al., 2017; Lester et al., 2017; Qing et al., 2017; Tu et al., 2017). Impairment in allocentric and egocentric navigational abilities have been well documented in AD as reviewed in (Serino et al., 2014) with defects showing early in Alzheimer’s-linked amnesiac MCI, particularly in allocentric tasks (Kalová et al., 2005; Hort et al., 2007; Laczó, Andel, Vlček, et al., 2010; Laczó, Andel, Vyhnalek, et al., 2010; Wood et al., 2016; Ruggiero, Iavarone and Iachini, 2017). Egocentric defects have also been reported for amnesiac MCI (Laczó, Andel, Vlček, et al., 2010; Laczó, Andel, Vyhnalek, et al., 2010). Increased dependency on egocentric navigation may reflect compensation for basal forebrain and hippocampal atrophy in AD (Parizkova et al., 2018).

Reports of ego/allocentric navigation deficits are less common in non-Alzheimer’s dementias. However, decline in spatial orientation abilities in VD has been reported (Coughlan et al., 2018). This decline is distinct from the AD profile as it is limited to egocentric deficits, likely resulting from visuospatial problems (Coughlan et al., 2018).","MCI, AD, VD",Navigation
Perception of orientation,"Alzheimer’s patients have been reported to struggle with disorientation. Yew et al. (2013) found that that performance on questions about temporal and geographical location was impaired in comparison to controls and bvFTD, where patients do not suffer from the same confusion. DLB patients are also less impaired in their perception of orientation than AD individuals (Tu et al., 2015; Scharre et al., 2016) but do show defects in spatial orientation tests in comparison to individuals with PDD (Takemoto et al., 2016). Although there is some evidence to suggest spatial orientation is impaired in VD (Coughlan et al., 2018) VD patients have also been shown to outperform AD patients on orientation questionnaires (Bowden, 1992; Raimondi et al., 2012; Gonçalves et al., 2015), with similar differences also observed when comparing AD to PDD (Bowden, 1992).","AD, bvFTD, DLB, PDD",Navigation
HRV,"Heartrate is modulated via the autonomic nervous system (ANS) and is therefore naturally variable in healthy individuals as a dynamic homeostasis is maintained, with factors such as age, sex, aerobic fitness and various pathologies affecting it (Almeida-Santos et al., 2016; Shaffer and Ginsberg, 2017). There are several parameters which can be used to measure heart rate variability (HRV). Several metrics are associated with the R-R interval (RRI) or the interval between each heartbeat; Standard Deviation Normal-Normal (SDNN) measures variability of RRI; Root Mean Square of Successive Differences (RMSSD) measures the successive differences in RRI; NN50 is the number of pairs of successive RRI differing by >50ms, with the pNN50 being the proportion of NN50 compared to total RRI. ULF (ultra-low frequency), VLF (very low frequency), LF (low frequency), and HF (high frequency) rhythms can also be analysed with the LF/HF ratio also used as a metric for variability designed to indicate parasympathetic/sympathetic nervous system dominance.

Although HRV appeals due to its ease of measurement the only metanalysis of HRV on cognitive decline indicates that results are still inconclusive (da Silva et al., 2018) although a recent systematic review pointed to its use in predicting cognitive impairment in individuals without dementia or stroke (Carnevali et al., 2019) although this has been linked to level of education (Zeki Al Hazzouri et al., 2014). The evidence for HRV as a clear biomarker of dementia is still unclear, and furthermore excludes individuals with underlying cardiovascular conditions from testing limiting its suitability as a biomarker. However, its use as a supporting metric may still be viable. ","AD, DLB, FTD",Heart rate variability
Gustatory threshold,"Gustatory thresholds for the four basics tests (sweet, salty, sour and bitter) are performed using commercially available testing kits. These tastes can then be diluted to allow threshold testing, or a range of concentrations are already present in commercial kits. The subjects are then presented with these tastes and asked to state whether any taste is experienced and whether they can identify the taste, this allows ‘detection thresholds’ and ‘recognition thresholds’ to be identified.

Sweet and salty detection thresholds raised for Semantic dementia while total (including all four basic tastes). For recognition thresholds, they found sour, salty and total thresholds raised for both semantic dementia and Alzheimer’s dementia while bitter thresholds raised for semantic dementia.","AD, SD",Gustatory Function
Taste discrimination,Pairs of tastes are presented to the subjects with some pairs containing the same tastes and some pairs containing different tastes. The subjects can rinse with water between tastes and are asked to state whether the two taste are same or different.,,Gustatory Function
Taste identification,"Subjects tastes 4 different kinds of tastes thrice in random orders and were asked to choose pictures of edible items which most closely corresponds to the taste they experienced. Significant differences in performance were noted on the identification test between the 3 groups (SD, AD and controls) with the number of correct responses being lowest in the SD group.","SD, AD",Gustatory Function