name,manufacturer,url,short_description,description,passive,portable,wearing_position,open_source,sdk_api,raw_data_access,minimum_cost_gbp,maximum_cost_gbp,availability,clinical_validation,medical_approval,self_administer,compatibility
Affectiva ,Affectiva,https://www.affectiva.com/,App,"Affectiva is a live emotion detecting app. This software can detect six emotions, sadness, disgust, anger, fear, contempt and joy. It does this by analysing pixels at twenty points on the face. This company has the largest emotions database with 12 billion action points from 12 million participants. This app is free to download; however, this excludes companies which earn over approximately £800,000 ($1 million) annually which also have no academic purposes. There are some limitations to this technology which could prevent its use in early detection of dementia. Firstly, the emotions detected are not directly the moods specifically link to dementia. It is possible that anger measurement would relate to agitation/irritability and sadness may link to depression however, this would need to be investigated. Secondly the software is unable to collect data when the application is not loaded. This limits the amount of data that can be collected and prevents long term analysis. Finally, long term analysis is also prevented by the lack of data storage. If these limitations were overcome, then this technology could be good for identification of the prevalence of moods linked to dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
nViso ,NVISO visual intelligence ,https://www.nviso.ai/en/products,Visual intelligence ,"NVISO have developed an app capable of real time emotion detection based on facial expressions. This app can identify happiness, sadness, surprise, disgust, fear, anger and neutral. It not only indicates the primary emotion detected but it also produces a graph of emotions. This graph is produced in real time and displays levels of each of the emotions, providing a better insight into how a person may be feeling. An issue with this app is its data storage. Once the app is exited or another feature is used within the app detection stops and the data is lost. This means long term analysis is not possible. Being able to observe emotion over time will increase accuracy of a physician’s conclusion when determining the risk of developing dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
emoods ,Tottaram LLC,https://apps.apple.com/gb/app/emoods-bipolar-mood-tracker/id1184456130,App,"Emoods is an app developed by Yottaram LLC. This app is designed to help patients suffering from bipolar disorder to manage their symptoms by keeping track of mood over time. The app includes a questionnaire which is made up of questions asking about the severity of moods experienced during the day. These moods include, depression, elevated mood, irritability, and anxiety, common emotions linked to dementia. It also collects additional information about duration of sleep and weight. The data collected from the questions is then presented in graphs, allowing the individual to keep track over time. This app is private and allows the data to remain secure between doctor’s visits. Although not made for dementia this app could be useful in detecting signs of increased risk, due to a change in prevalence of certain moods. The ability to identify these moods through this format would have to be tested to ensure accuracy and specificity in relation to dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,,,0.5,
Fitbit versa 2,fitbit,https://www.fitbit.com/uk/shop/versa,wearable ,"Fitbit have designed a health and fitness smartwatch called fitbit versa 2. The fitbit versa 2 has continuous heart rate tracking and produces a sleep score reflective of sleep quality. The sleep score is determined by heart rate, total duration of sleep, restlessness and breathing. These scores could be used to detect early signs of dementia; however, this connection would need to be investigated. The issue with using this technology for healthcare, specifically related to dementia, is the unrelated features. This device has lots of different features which are unnecessary for early detection. This means that using this device may lead to data which is not worth the expenditure.",Passive,portable,Wrist,FALSE,FALSE,TRUE,199,219.99,1,0,0,1,
YourHour,Mind-e-fy Solutions,https://www.yourhour.app/ ,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,TRUE,0,4.99,1,,,0.5,0.5
Braincheck ,BrainCheck inc ,https://www.braincheck.com/,App,"BrainCheck is an iOS app which is open to the public. It is comprised of a series of tests which are said to detect cognitive impairment. It has two separate programmes, a sport and a memory programme. The sport programme is aimed at detecting signs of concussion and the memory programme is used to detect any signs of cognitive impairment. The tests are immediate and delayed recall, the Stroop test, digital symbol substitution test and trail test A and B. The tests take about 10 minutes to complete and produce results as a point on a scale. There is no quantitative value for each result. There are 5 results produced which signify cognitive processing, executive function, visual attention and immediate and delayed recall. The scale goes from low to high with an intermediate bar indicating the average range. It is hard to interpret the results as they don’t say exactly what is meant by the measurements. The tests are easy to understand but could be subject to the practise effect, especially as this app is open to the public. This app has been used in clinical studies, specifically related to dementia. A study in 2019 found that BrainCheck is a significant tool for measuring cognitive impairment in older adults and that the scores significantly correlated with scores on the SLUMS, MMSE, MoCA tests and a physician’s diagnosis. They suggest that this software still needs future research into its ability as a whole to detect mild cognitive impairment as well as dementia (Groppell et al., 2019). Overall, this app has the potential to be used in early detection of dementia as it analyses many areas linked to impairment in dementia and it is cheap and easy to use. The only issue would be the possibility of practise effect which would have to be investigated.",Active,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,1,0.5,,0.5,
Livio AI,Starkey Hearing Technologies,https://www.starkey.com/hearing-aids/technologies/livio-artificial-intelligence-hearing-aids,PPG hearing aid,"Hearing aid with built in sensors for health monitoring. This includes fall monitoring, PPG, and step counting which can be viewed in an app. It also offers Translation in 27 languages, Alexa connectivity, Voice-to-text Transcription, User interface with tap control, Self-Check for hearing performance, Thrive Virtual Assistant (built on Google Assistant). They have plans to move into social monitoring to predict dementias early using depression and more general social interactions as indicators.",Passive,portable,Ears,FALSE,FALSE,FALSE,1995,3795,0.5,0,1,0.5,
Amplivox,Amplivox,https://www.amplivox.com/,Portable audiometers,"Amplivox is a company which sells medical grade portable audiometers. They sell a variety of devices, some specific for screening and others for diagnostics. They also sell a piece of technology called the ER75 Electro-acoustic ear simulator which is used to automatically validate the audiometers. Validation occurs in under 5 minutes and ensures the most accurate results. These devices are more complex than the newly developed iPad-based audiometers, so the company offers courses on how to administer the hearing test using these devices. These devices can only be used by healthcare professionals or researchers and don’t have the capabilities to self-administer.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,,,,,1,0,
Pupil Core,Pupil Labs,https://pupil-labs.com/,eye movement tracking glasses,"Pupil Labs offer a wearable eye tracking device, with open source 
software. The headset is modular and so can be adapted to research 
needs; it can be mono- or bi-ocular, designed for first person view or 
detailed eye motion studies. They also offer an online guide and 
community to support individuals taking a DIY approach to building or 
customising the headset and software. Pupil Core offers basic eye 
tracking. Devices can also be made 
compatible with Virtual Reality headsets: HTC Vive and Vive PRO VR, 
Microsoft HoloLens AR, and Epson Moverio BT-300",Passive,portable,Face,TRUE,FALSE,TRUE,"1,275.36","2,478.54",0.5,0,0,0.5,
Pupil Invisible,Pupil Labs,https://pupil-labs.com/,eye movement tracking glasses,"Pupil Labs who are based in Berlin have developed a wearable eye tracking device, with open-source software. The device which is a headset is modular in nature allowing easy adaptation to research and measurement requirements. The device can allow measurement of either, or both eyes at one time. The device is designed for first person view. It can also be used for more detailed ocular movement studies. Pupil labs also offer a guide/manual which is available online and have curated an online community to support and guide individuals who are interested in customising both the hardware and the software. Pupil labs also offer ‘Pupil Invisible’ which is designed to look like a pair of glasses and has the added advantage of not requiring calibration. The devices are made to be compatible with VR headsets including versions from HTC, Microsoft and Epson",Passive,portable,Face,TRUE,FALSE,TRUE,"4,411.16","4,411.16",0.5,,0,0.5,
SocialFever,Systweak,https://www.systweak.com/,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,1,,,0.5,0.5
Jabra Sport Pulse Earbuds,Jabra GN,https://www.jabra.co.uk/sports-headphones/jabra-sport-pulse-wireless#/#100-96100010-60,PPG headphones ,Wireless sport headphones fitted with a PPG taking measurements from the inner ear. Designed for fitness performance monitoring.,Passive,portable,Ears,FALSE,FALSE,TRUE,199,199,1,0,0,0.5,1
Jabra Elite Sport Earbuds,Jabra GN,https://www.jabra.co.uk/sports-headphones/jabra-elite-sport#/#100-98700000-60,PPG headphones ,"The Jabra elite sports earbuds are developed by Jabra GN based in Denmark, Copenhagen. The headphones are wireless and specialised for sport with a PPG measurement function taken the inner ear. The primary function of this feature is fitness monitoring. The device retails at £199.99 and to view the associated data, there is a smart phone app on both Android and iOS platforms. The observation length can be adjusted to monitor the heart rate during exercise.",Passive,portable,Ears,FALSE,FALSE,TRUE,199.99,199.99,1,0,0,0.5,1
Alzheimer's by Canary Speech,Canary Speech LLC,http://www.canaryspeech.com/technology,app,"Canary speech is a company which have designed technologies responsible for analysing speech and language. The centre of this software is the advanced automatic speech recognition and the natural language processing techniques. The aim of this company is to investigate different diseases and disorders using a variety of machine learning technologies. Specifically, an area of interest is the analysis of speech in Alzheimer’s patients. This technology has successfully completed FDA clinical trials as well as IRB studies.",Active,,Non-wearable,FALSE,FALSE,FALSE,0,0,0.5,0.5,1,0.5,0.5
ZIO,iRhythm Technologies Ltd.,https://www.irhythmtech.com/patients/how-it-works ,wearable plaster,ECG measurement allows HRV to be obtained as it corresponds to variation in R-R intervals in a heartbeat. ZIO offers a wearable ECG which is produced by iRhythm Technologies Ltd based in California. The concealable device allows continuous ECG monitoring while the subject goes about their regular activities. The wearable is combined with a smartphone app available on both android and iOS platforms. The app has a symptom reporting feature along with a paper diary feature. The wearable ECG provided by ZIO has an advantage over traditional ECGs of being less bulky and allowing usual motion/exercise by the individual. There is some concern of the app requesting unnecessary permissions such as access to phone calls which has led to reduced user compliance.,Passive,portable,Chest,FALSE,FALSE,TRUE,288.4,288.4,0.5,0.5,1,1,
Smart Time,Smart Time,https://www.smartertime.com/,app,Social media and app usage over time and location,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,0.75,,,0.5,0.5
SPACE,Phone Life Balance Ltd.,https://findyourphonelifebalance.com/,app,,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,3.99,1,,,0.5,1
cEEGrid,cEEGrid,http://ceegrid.com/home/,EEG,"Miniaturized,
multichannel sensor array EEG which sits behind and around the ear. It
comes as a sticker and so is minimally intrusive for the wearer. They require
some gel so do not suffer from the inaccuracies of a dry electrode set up but
do not require extensive hair washing and cap preparation as traditional EEGs do.
They can also be reused a few times if washed with care. Signal is passed to a
wireless amplifier affording the wearer mobility unavailable with a traditional
EEG cap. 

The
principle was validated with 10 subjects in 2015 (Debener, Emkes, De Vos, & Bleichner, 2015) and
suggested to help record normal behaviour compared to the use of a cap-EEG in a
lab setting. Its performance is similar if lower
than recorded using traditional cap-EEGs. Kotz et al. (2016) found it to be 6.3% accurate compared to
84.8% for cap-EEG and an auditory attention processing study found
67% cEEGrid accuracy
versus 70% for the cap-EEG (Bleichner,
Mirkovic, & Debener, 2016). They have been shown to give accurate
seated P300 ERP and similar alpha wave traces, theta activity,
k-complexes and slow wave sleep during sleep compared to caps (Bleichner & Debener, 2017). It has
also been successfully used with the visual Simon test to analyse cognitive
performance (Pacharra, Debener, &
Wascher, 2017), this test has also been used in cognitive performance
tests in which dementia patients score worse (Tse,
Balota, Yap, Duchek, & Mccabe, 2010). Data can
also be collected using a smartphone and the SCALA (signal processing and
classification on android) app which is freely available on GitHub (Blum et al., 2017). 

",Passive,portable,Head,FALSE,FALSE,TRUE,17.93,17.93,0.5,0.5,0,0.5,
RealizD	,RealizD pty ltd.,http://www.realizd.com/,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,15.99,1,,,0.5,1
Agilis audiogram,Agilis Health inc ,http://www.agilishealth.com/,App,,Active,portable,Non-wearable,FALSE,FALSE,TRUE,,,,,,0.5,
Kando,Interactive mindware LLC,http://interactivemindware.com/products/,app,"Kando is an app made up of a series of different task each meant to measure fine motor control. The activities include tracing, steadiness, reaction time, and accuracy. Up to 100 recordings for each task will be saved to the app providing hundreds of data points to analyse. These data points are displayed in graphs within the app allowing for tracking over time. This means changes in fine motor control can be easily detected and risk of dementia can be determined. This app has not been clinically validated, and so would need to undergo testing to ensure it is able to detect subtle differences that occur in people more at risk of developing dementia",Active,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,1,0,0,0.5,0.5
Zen Screen,Zen Screen,http://www.zenscreen.ai/ ,app,Social media and app usage over time and location,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,47.99,1,,,0.5,1
Ultracortex Mark IV EEG,OpenBCI,https://shop.openbci.com/collections/frontpage/products/ultracortex-mark-iv,EEG with heart rate monitor,,,,Head,TRUE,FALSE,TRUE,287.43,821.25,0.5,0.5,0,0.5,
Moodtracker social diary ,Matthew Windwer,http://www.moodtrack.com/,App,"Moodtracker social diary is a mobile application which allows a person to note emotions they are feeling, along with an explanation, graphically over time. This data can be posted on a public forum or kept in a private library, which can be purchased for 99p. This addition provides a confidential space where a person may feel more comfortable recording how they feel instead of telling a clinician face to face. The problem with this application is that the data is very subjective. The data is based on a scale 1-5 going from worst to best. The definition of each number will differ from person to person making clinical diagnosis of specific emotions difficult. A positive feature is the graphical representation of emotion however this is also partially flawed. For example, the emotion recorded could be anger and the ranking could be 5 equalling best, this would then be plotted with happiness which can also be ranked 5 for best. The graph is colour coded, allowing for differentiation between the emotions, however this can be altered for each patient. Overall, this app is a good way for the patient to keep track of their emotions, however it may not be as helpful to clinicians responsible for accurately detecting emotions related to early detection of dementia.",Active,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,1,,,0.5,
MyAddictometer,MyAddictometer,http://www.myaddictometer.com/,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,1.69,1,,,0.5,0.5
∆elta,KI Elements,https://ki-elements.de/,app,"∆elta is an iPad app designed to assist clinicians in making diagnoses and monitoring patients with cognitive impairment. It combines a database of speech assessments with writing and drawing assessments with AI analysis. This is an adaption of many existing diagnostics used in clinical practice, and uses some additional metrics not typically gathered.",Active,,Non-wearable,FALSE,FALSE,FALSE,0,0,1,0.5,0,0.5,0.5
KardiaMobile,AliveCor,https://www.alivecor.com/kardiamobile/,portable handheld ECG,"single lead, hand held ECG",Active,portable,Non-wearable,FALSE,FALSE,FALSE,99,99,1,0.5,1,1,1
KardiaMobile 6L,AliveCor,https://www.gunitbrands.com/products/biosport-earbuds?_pos=1&_sid=d93dff2c4&_ss=r,portable handheld ECG,six lead hand held ECG,Active,portable,Non-wearable,FALSE,FALSE,FALSE,149,149,1,0.5,1,1,1
Muse 2,InteraXon Inc.,https://choosemuse.com/,EEG with heart rate monitor,"EEG machine made for personal use. It is designed to monitor neural activity during meditation coupled with an app which translates how focused the user is into ambient weather sounds to guide their meditation. They offer Muse which is a Bluetooth EEG with app and Muse 2 which also has a PPG (photoplethysmography) and Pulse Oximetry to measure heart rate and blood flow, an accelerometer to measure posture and a gyroscope to measure breathing.",Passive,,Head,FALSE,FALSE,TRUE,239,239,1,0.5,0,1,1
Muse,InteraXon Inc.,https://choosemuse.com/,EEG with heart rate monitor,"EEG machine made for personal use. It is designed to monitor neural activity during meditation coupled with an app which translates how focused the user is into ambient weather sounds to guide their meditation. They offer Muse which is a Bluetooth EEG with app and Muse 2 which also has a PPG (photoplethysmography) and Pulse Oximetry to measure heart rate and blood flow, an accelerometer to measure posture and a gyroscope to measure breathing.",Passive,,Head,FALSE,FALSE,TRUE,239,239,1,0.5,0,1,1
Beautyrest sleeptracker ,Beautyrest,https://www.beautyrest.com/Sleeptracker,Sensor pads ,"Beautyrest technology includes a mobile application and paired sensors which lie underneath the mattress. A unique aspect of this technology is the ability to monitor two people in the same bed at the same time. This device can measure heart and breathing rate, time till sleep onset, duration of sleep, and within that the duration of the specific sleep stages. Nightly sleep scores are produced alongside daily, weekly and monthly sleep reports. These reports contain details about sleep trends which could indicate risk factors for dementia development. The ability to detect these changes and abnormalities would need to be studied before use in early detection could be determined.",Passive,static,Non-wearable,FALSE,FALSE,FALSE,64.91,104.68,1,0,0,1,
Sleep tracking mat,Withings,https://www.withings.com/uk/en/sleep,Sensor mat,"Withings have developed a different type of technology that is able to collect data about sleep. This technology, priced at £99.95, is a sensor-based device which come in the form of a mat which lies underneath the mattress. The mat excludes the need for wearables and is completely automatic when set up. Data from this device can decipher an individual’s sleep quality and quantifies this by producing a sleep score. All the information is transmitted to the app as soon as the individual awakes. A recent addition to this technology is its ability to detect breathing disturbances, specifically signs of sleep apnea. This feature could be important to early detection of dementia as sleep apnea has been linked as a potential marker for AD development. Overall, this device is cheaper than some of the other wearable devices, it can be simply used within the home and can collect data for any length of time required. With all of its features, it has the possibility to be used in early detection of dementia, however, does require further clinical validation.",Passive,static,Non-wearable,FALSE,FALSE,TRUE,99.95,99.95,1,0,0,1,
STAC,Cognitive innovations LLC ,http://www.cognitive-innovations.com/stac.html,App,"The STAC is an application which is iPad based. This device includes tests which assess memory, sequencing, visual scanning and attention, executive function, processing speed and elements of language. The test is fully automated and available to download through the app store, allowing for at home self-administration. Once the tests are complete a full report is given. For most of the tests the patients scores will be compared against normative data from patients the same gender and similar age as them. This ensures for more accurate results, specifically as the number of people in that group increases. This device costs approximately £32 and doesn’t require any subscription or in app purchases. This device has undergone clinical investigation to which they found moderate correlation in a neurotypical population but not in a population with cognitive impairment (Wallace et al., 2017). As being able to detect cognitive impairment accurately is important for early detection, further studies would be needed to validate this technology for this purpose.",Active,portable,Non-wearable,FALSE,FALSE,FALSE,40.13,40.13,1,0,,0,
Beddit sleep monitor ,Beddit ,https://www.beddit.com/,Sensor pad ,"Beddit is an automatic sleep monitor which uses a sensor pad coupled with a mobile application. It can also be paired with a wearable device such as the apple watch. This technology can measure time to fall asleep, sleep duration, time in bed, time away from bed, wake up time and sleep efficiency. It is also able to detect heart rate, giving the average, highest and lowest recording. Another feature is its ability to detect audio disturbances, such as snoring. When this occurs a time, stamp is noted however no audio is recorded. This has its limitations as it means the specific noise can’t be used for diagnosis. For example, the noise could resemble sleep apnea which would go unnoticed if it wasn’t recorded during the night. Another issue with this technology is it only works if the person is lying over the strip sensor. If the user moves during the night, then the device will assume they are away from the bed and the measurements will be inaccurate. If this strip was to cover the full width of the bed, then it may not be limited in this way. Overall, this sensor technology is a promising way to measure elements of sleep without the use of a wearable, however, may not always be as accurate.",Passive,static,Non-wearable,FALSE,FALSE,TRUE,122.02,122.02,1,0,0,1,
Emfit QS ,Emfit,https://shop-eu.emfit.com/products/emfit-qs,Sensor pads ,"The Emfit QS+active is a sleep tracking device developed by Emfit, which is also
able to measure heart rate variability. This device is a sensor which collects
data on sleep from under the mattress. It can measure HRV throughout the whole
night which is used for recovery and readiness analysis. It also detects heart
rate, breathing rate, different sleep stages, movement, duration of sleep, and
time in bed. The data collected is viewed using a web application, meaning
downloading of a mobile app is not required. The data can be stored for up to a
year, which is enough time to observe trends and detect changes which could be
indicative of early signs of dementia. Overall, although expensive it covers
measurements for two modalities and doesn’t require wearables which could be
annoying to wear during sleep.

Emfit have also developed a device called Emfit QS+clinical based on the same sensor technology. This technology, however, is a
contact free ballistocardiograph for scoring of sleep apnea.
This would be useful for early detection of dementia, however, each device
costs approximately £495 (€557.96) which is expensive when only measuring part
of one modality

",Passive,static,Non-wearable,FALSE,FALSE,TRUE,268.45,268.45,1,0,0,1,
Sleeprate improve your sleep,Sleeprate,"https://apps.apple.com/us/app/sleeprate-improve-your-sleep/id591870810#targetText=Like%20you%2C%20almost%20half%20of,being%20by%20improving%20their%20sleep.&targetText=From%20sleep%20analysis%2C%20to%20a,your%20life%20through%20better%20sleep.",app,"Sleeprate is a mobile application based on movement. It provides a list of compatible wearables which are recommended to give a more accurate depiction of the sleep pattern and quality. A main feature of this app is the involvement of questionnaires. When signing up it is required to fill in basic information and then there is a questionnaire-based thought about sleep. The questionnaires are a series of yes and no questions, it is possible that this format isn’t accurate enough and instead could do with a scale to better understand a person sleeping situation. The app provides a sleep score based off the answers to the questions. Before bed it has a section for preparing for sleep which includes 3 short questions about the day and how the user is feeling. These questions have a better format as they are on a scale from 1 to 10. It also asks for information about the duration of a nap if one was taken but doesn’t ask how many naps were taken. There are also morning questions which asks for opinions on sleep quality and the time when the user gets out of bed. I think this app has interesting elements but could have more specificity with questions.",Active,portable,Non-wearable,FALSE,FALSE,FALSE,0,450,1,0,0,1,
Quality time,"NComputing Global, Inc.",http://www.qualitytimeapp.com/,app,Social media and app usage over time,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,6.49,1,,,0.5,0.5
CogniSense ,CogniSense ,http://www.questcognisense.com/,App,"CogniSense is an iPad application, developed under the name Memory Orientation and Screening Test (MOST), used to detect cognitive impairment. This test results in the production of a cognitive score which can be tracked and monitored over time. The test assesses memory, orientation and executive organisation in approximately 10 minutes. CogniSense is free but only to clinicians. It can be connected to Care360 to keep track of patient data. This device has been clinically validated as an accurate way to analyse cognitive health (Clionsky and Clionsky, 2014). It has also been specifically linked to accurate differentiation between neurotypical, MCI and demented patients (Emily Clionsky, 2013). Overall, this test is strongly validated and so could be a good technology for early detection of dementia.",Active,static,Non-wearable,FALSE,FALSE,TRUE,0,0,0.5,0.5,,0,
ACEmobile ,Plymouth University Peninsula Schools of Medicine & Dentistry,http://www.acemobile.org/aboutace.html,App,"ACEmobile is an application designed for use on an iPad. It is a digital version of the Addenbrookes cognitive examination, ACE-3. The company which have developed this technology have done so specifically for use by clinicians, those in dementia clinics. This device requires guided administration, however with minimal intervention. The test itself has inbuilt instructions telling the participant what to do and when to do it. A clinician is required to make sure the test is administered properly and so they can make decisions regarding its completion. They can intervene by skipping elements of the test or retesting parts. Once complete a report is automatically generated. This report can be review immediately or sent to an email for later inspection. The ACE-3 test has been validated as an accurate tool for identifying early signs of dementia. In relation to this ACEmobile has been specifically mentioned to reduce error further from this test through the lack of administrator error (Bruno and Vignaga, 2019). Overall, this test is free and accessible to clinicians and is said to accurately detect signs of dementia early in the course of the disease. Even though it cannot be administered by the patient at home it may still be a good tool for early detection of dementia.",Active,static,Non-wearable,FALSE,FALSE,TRUE,0,0,0.5,0.5,,0,
GaitTrack,,,,Phone app which tracks gait passively using phone’s accelerometers without any external sensors. GaitTrack allows step count and step frequency to be measured. Currently this is specialised for lung-related chronic diseases but demonstrates potential for extension to other diseases. Has been specialised to detect and triage heart and lung related problems but may be adaptable for neurodegenerative disease detection,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,,,,0,
Shoebox audiometry ,Shoebox ,https://www.shoebox.md/,iPad audiometer ,,Active,static,Non-wearable,FALSE,FALSE,TRUE,,,,0.5,,0.5,
EEG Headband,OpenBCI,https://shop.openbci.com/collections/frontpage/products/openbci-eeg-headband-kit?variant=8120393760782,EEG,"8 channel EEG dry electrode headband. Compatible with 8 channel Cyton Biosensing Board (250Hz), 4 channel Ganglion Biosensing Board (200Hz), 16 channel Cyton + Daisy Biosensing Boards (250Hz). All software is open source and designed to open up the use of EEG to anyone interested.",Active,static,Head,TRUE,FALSE,TRUE,163.43,943.62,1,0.5,0,0.5,
Auris In-Ear EEG,CGX (Cognionics),https://www.cognionics.net/auris,EEG,"wireless headphones with round the neck amplifer, suitable for overnight monitoring. also has an ECG",Active,static,Head,FALSE,FALSE,TRUE,4106.3,4106.3,1,0.5,0,0.5,
EEG Cap,OpenBCI,https://shop.openbci.com/products/openbci-eeg-electrocap,EEG,21 channel Ag/AgCl coated or sintered electrode EEG cap. Available in small medium and large. Traditional wet electrode system.,Active,static,Head,TRUE,FALSE,TRUE,410.62,410.62,1,0.5,0,0.5,
Ultracortex Mark IV EEG,OpenBCI,https://shop.openbci.com/collections/frontpage/products/ultracortex-mark-iv,EEG,"6 channel, 35 electrode, 3D printed EEG headset. It can also record EMG and ECG. It uses a dry electrode method and comes with a GUI application to livestream and visualise the data.",Active,static,Head,TRUE,FALSE,TRUE,287.43,821.25,1,0.5,0,0.5,
BrainBaseline,BrainBaseline ,https://www.brainbaseline.com/,App,"BrainBaseline is a digital assessment platform which can assess several different factors. This application is used on a mobile or iPad and can also be paired with wearables such as the apple watch. This technology comes with 14 cognitive assessments tasks analysing attention, verbal memory, executive function, visuomotor coordination, visual memory, working memory, spatial processing, fatigue, speed of processing and long-term memory. These tasks have been clinically validated (Lee et al., 2012). In addition to cognitive assessments the use of wearables means motor tasks can also be analysed. These motor tasks include gait, balance, tremor, time estimation, fine motor control, motor function and verbal phonation. The use of wearables also means that patients can be passively tracked and measured as they complete their daily activities. As well as these tasks there are also surveys which ask questions related to mood and medication. It is also possible for this technology to accept information from other devices such as data on sleep and heart rate. This platform also has a clinical dashboard for doctors or researchers to keep track of their patients. Overall, this technology assesses several different modalities and is a clinically validated software. This application could be very useful in early detection of dementia and so further research into this area is recommended.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,201.58,0.5,0,,0,
Offtime,mINdCUBEd,https://offtime.app/early-adopter.php,app,,Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0.8,78.92,1,,,0.5,0.5
